document_id,segment_id,term,left_context,right_context,evidence_quote
kunyutushuo_1674,kunyutushuo_1674_excerpt_0001,坤輿,,圖說者乃論全地相聯貫合之大端也。,坤輿圖說者乃論全地相聯貫合之大端也。如地形、地震、山岳、海潮、海動、江河、人物、風俗、各方生産。
kunyutushuo_1674,kunyutushuo_1674_excerpt_0002,地,夫,與海本是圓形而合爲一球,夫地與海本是圓形而合爲一球，居天球之中，誠如雞子黃在青内。謂地爲方者，乃語其定而不移之性，非語其形體也。
kunyutushuo_1674,kunyutushuo_1674_excerpt_0002,天球,夫地與海本是圓形而合爲一球，居,之中，誠如雞子黃在青内。,夫地與海本是圓形而合爲一球，居天球之中，誠如雞子黃在青内。謂地爲方者，乃語其定而不移之性，非語其形體也。
kunyutushuo_1674,kunyutushuo_1674_excerpt_0003,赤道,天分三百六十度，地亦同之。天中,，自赤道而南二十三度半爲南道,天分三百六十度，地亦同之。天中赤道，自赤道而南二十三度半爲南道，赤道而北二十三度半爲北道。
diqiutushuo_1799,diqiutushuo_1799_excerpt_0001,地球,,圖説，西洋人臣蔣友仁奉旨譜譯,地球圖説，西洋人臣蔣友仁奉旨譜譯，内閣學士兼禮部侍郎臣何國宗、左春坊左贊善翰林院編修臣錢大昕同奉旨潤色。
diqiutushuo_1799,diqiutushuo_1799_excerpt_0002,地,天體渾圓，,居天中，其體亦渾圜也。,天體渾圓，地居天中，其體亦渾圜也。地圓如球，今畫大地全圖作兩圈界，以象上下兩半球，合之即成全球矣。
diqiutushuo_1799,diqiutushuo_1799_excerpt_0002,地,天體渾圓，地居天中，其體亦渾圜也。,圓如球，今畫大地全圖作兩圈界,天體渾圓，地居天中，其體亦渾圜也。地圓如球，今畫大地全圖作兩圈界，以象上下兩半球，合之即成全球矣。
diqiutushuo_1799,diqiutushuo_1799_excerpt_0002,全球,今畫大地全圖作兩圈界，以象上下兩半球，合之即成,矣。,天體渾圓，地居天中，其體亦渾圜也。地圓如球，今畫大地全圖作兩圈界，以象上下兩半球，合之即成全球矣。
diqiutushuo_1799,diqiutushuo_1799_excerpt_0003,經緯,大地之,度各分三百六十，與天度相應,大地之經緯度各分三百六十，與天度相應，而以天上相應之處名之。
