document_id,title_original,title_normalized,title_english,year_original,year_standard,author_original,author_normalized,translator,reviser,editor,dynasty,genre,knowledge_domain,source_collection,source_volume,source_page_start,source_page_end,source_status,ocr_status,correction_status,rights_status,notes
kunyutushuo_1674,坤輿圖說,坤舆图说,Kunyu Tushuo,康熙十三年,1674,南懷仁,南怀仁 / Ferdinand Verbiest,,,,清,geographical treatise,geography and astronomy,,,,,candidate,not_started,not_started,unknown,pilot source; metadata requires bibliographical verification
diqiutushuo_1799,地球圖説,地球图说,Diqiu Tushuo,嘉庆四年,1799,蒋友仁,蒋友仁 / Michel Benoist,,何國宗; 錢大昕,,清,geographical treatise,geography,,,,,candidate,not_started,not_started,unknown,pilot source; reviser information requires verification
